"Name","Purpose","Quantity","Total Cost (USD)","Link","Distributor"
"Raspberry Pi 5 Model B - 2GB RAM","The Main Board","1","79.2","https://quartzcomponents.com/products/raspberry-pi-5-model-b-2-gb-ram?variant=44765133734122&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=21214248935&gbraid=0AAAAACPPFdPq38q8oaarB3Z8Aw54lNQQw&gclid=CjwKCAjw6rfSBhAqEiwA_yocpoKsST5QoL5mz-SxGb_nqPAmGyvrdbIvO2WEwabEa7iDPyRt3Ows1RoCzScQAvD_BwE","Quartzcomponents"
"Waveshare 10.1inch DSI Capacitive Display","The Main Display","1","58.4","https://robu.in/product/waveshare-10-1inch-dsi-capacitive-touch-display-800x1280-ips-panel-optical-bonding-toughened-glass-panel-10-point-touch/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfNcefqZGzxw5j1D6JKGFQ9a&gclid=CjwKCAjw6rfSBhAqEiwA_yocpmfg81TLTCN3fo27RJ9TBnjEsS6_xtp_xpVT7hxoa052WUJQSVVsShoCQ04QAvD_BwE","Robu"
"LI-ION BATTERY (3400mAh)","To power up the circuit","6","23.7","https://robu.in/product/lg-18650-mj1-3400mah-3c-li-ion-battery/","Robu"
"Raspberry Pi Camera NOIR V2","For Webcam","1","16.6","https://robu.in/product/raspberry-pi-camera-noir-v2/","Robu"
"Keyboard PCB","For the main Keyboard","1","17.40","https://jlcpcb.com/","JLCPCB"
"Low Profile Brown Switches","For the Keyboard","64","26.6","https://stackskb.com/store/ttc-low-profile-brown-switches-tactile/?srsltid=AfmBOopVJGy71lwk9i-GGVeKlUhoSkYpSs-ZjSqGXqXpq-0qVc0sIJu8WbU","Stackskb"
"Keycap Set","For the Keyboard Switch","1","12","https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/black-cartoon-keycap-set/","Meckeys"
"Keyboard Stabilizer","For the Keyboard","1","10.6","https://meckeys.com/shop/accessories/keyboard-accessories/more/glorious-goat-stabilizers/?srsltid=AfmBOopfB2CyJPtebNb6duV-_vZMxiGr48ZuBDk0nstemE4KVMbZLGEajQY","Meckeys"
" Stereo Enclosed Speaker - 3W","For Sound","1","5.2","https://robu.in/product/dfrobot-fit0502-stereo-enclosed-speaker-3w-8%cf%89/","Robu"
"Channel Digital Amplifier Board","For the Speakers","1","1.5","https://robu.in/product/tpa3110-mono-channel-digital-amplifier-board-30w-power-amplifier-module/","Robu"
"Screws Assorted set","For fixing the frame","1","2.6","https://onlyscrews.in/products/m3-allen-button-head-ss304-assorted-box","OnlyScrew"
"Li - Po BMS module","For battery protection","1","0.7","https://robu.in/product/3s-12v-18650-lithium-battery-protection-board-12v-10a-overcharge-overcurrent-protection/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfNcefqZGzxw5j1D6JKGFQ9a&gclid=CjwKCAjw6rfSBhAqEiwA_yocpiUaku2wtYU2cjDLn7Q3RDZGNGw6_5iCiCeh-ELbzsKbwcayOCAtBhoCcqIQAvD_BwE","Robu"
"Raspberry Pi Pico 2","For the keyboard Controller","1","5.6","https://robu.in/product/raspberry-pi-pico-2/?gad_source=1&gad_campaignid=19974686076&gbraid=0AAAAADvLFWfmuv-hSpQMDDZLf3yuPU2ea&gclid=CjwKCAjw6rfSBhAqEiwA_yocpkgBys65YuaZap6jxt_wtfYtAZWc6wQlDlMw3sf7Xv4Kl9Z_02KnHxoCnzIQAvD_BwE","Robu"
"1N4148 1W Zener Diode","For the keyboard","64","1","https://robu.in/product/1n4148-1w-zener-diode-pack-of-50/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWd0rKZJEbb3DIawiQTkI3-mb&gclid=CjwKCAjw6rfSBhAqEiwA_yocpvHZ7QhCrrbQwjXW8LEvV6KFk7WGvNt_XnFKW5Xu9Nk_2Fb_GEC_IBoCDEcQAvD_BwE","Robu"
"20 pin header socket","For the Pi Pico ","1","0.2","https://robu.in/product/2-54mm-1x20-pin-female-single-row-straight-header-strip-pack-of-5/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWd0rKZJEbb3DIawiQTkI3-mb&gclid=CjwKCAjw6rfSBhAqEiwA_yocptIw84o2huwroYFs1PJTtH7yLFTeHcd2EKqoU0ilOlvkJQL7_byucRoCczYQAvD_BwE","Robu"
"Self Locking Switch","For the power switch","1","0.4","https://robu.in/product/r16-503a-plastic-self-locking-latching-switch-2pinoff-on/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWd0rKZJEbb3DIawiQTkI3-mb&gclid=CjwKCAjw6rfSBhAqEiwA_yocplCIc_YLRBDNLVVMmWp1BA4Ccmgi8ZtHfAAFjMLB4nuLsr_48Ht1wxoCszAQAvD_BwE","Robu"
"USB-C hub module","For the Cyber Deck Ports","1","2.6","https://robu.in/product/smartelex-usb-hub-with-4x-usb-2-0-ports/?gad_source=1&gad_campaignid=18585959909&gbraid=0AAAAADvLFWcWsH3nLGUaLQQmFeDowPlKc&gclid=CjwKCAjw6rfSBhAqEiwA_yocpjFmodxo2TojLfhJ-goNWKYH6eVeO_WnnAITeUYE51ECZFQ5iE75uRoCzbEQAvD_BwE","Robu"
"3d Print","For the Case and the body","1","0","https://printlegion.hackclub.com/","#printing-legion"
"Tax","","","3.6","",""
"Shipping","incl. PCB","","22","",""
"Total ","","","289.9","",""
"Total Round Off","","","290","",""
